ride_id,user_id,pickup_city,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_datetime,dropoff_datetime,ride_status,vehicle_type,distance_miles,duration_minutes,fare_amount_usd,tip_amount_usd,surge_multiplier,payment_method,ride_purpose,user_rating,wait_time_minutes
1858652,4445151,Denver,39.69068,-104.95743,39.74515,-104.99402,2023-05-16 00:00:14,2023-05-16 00:13:14,Completed,Sedan,4.24,13,10.13,8.55,1.0,App Wallet,Business Meeting,5,10
7109203,5373434,Miami,25.84306,-80.12099,25.68889,-80.09891,2022-08-01 14:24:47,2022-08-01 14:45:47,Completed,Sedan,10.74,21,21.83,0.58,1.0,Credit Card,Daily Commute,5,12
8252822,4433729,Chicago,41.89486,-87.61603,41.9559,-87.69962,2024-07-01 06:46:23,2024-07-01 07:01:23,Cancelled,Sedan,6.02,15,0.0,0.0,1.5,Promo Credit,Event,,15
9681062,2546671,New York,40.78561,-74.04873,40.78384,-73.94552,2024-12-24 02:50:37,2024-12-24 03:01:37,Completed,Electric Sedan,5.4,11,13.3,1.59,1.0,Debit Card,Daily Commute,3,1
8581227,1026404,Austin,30.33604,-97.69145,30.30006,-97.79089,2023-06-22 09:02:49,2023-06-22 09:19:49,Disputed,SUV,6.43,17,0.0,0.0,1.2,Corporate,Night Out,,10
4733060,2848143,Chicago,41.89584,-87.57865,41.78815,-87.61705,2022-10-29 09:40:52,2022-10-29 09:55:52,Completed,Sedan,7.7,15,29.45,0.4,1.8,Debit Card,Tourist,5,3
6514857,4416199,New York,40.69075,-73.98876,40.75575,-73.97382,2022-12-21 11:45:09,2022-12-21 12:11:09,Completed,Compact,4.56,26,14.01,0.81,1.5,Debit Card,Food Delivery,3,4
1666949,5956844,Austin,30.30561,-97.65356,30.30971,-97.74661,2022-02-22 16:08:08,2022-02-22 16:28:08,Cancelled,Luxury,5.56,20,0.0,0.0,1.2,App Wallet,Business Meeting,,20
6783918,7635895,Boston,42.30923,-71.14547,42.33093,-71.09152,2024-11-18 05:59:10,2024-11-18 06:11:10,Completed,Sedan,3.14,12,8.15,0.83,1.0,App Wallet,Airport Transfer,1,5
7106256,5961842,Nashville,36.2565,-86.78702,36.08019,-86.80495,2024-11-16 01:10:31,2024-11-16 02:03:31,Cancelled,Compact,12.22,53,0.0,0.0,1.5,Credit Card,Medical Appointment,,3
8562490,4806029,New York,40.71097,-74.00587,40.80675,-74.05956,2024-12-17 21:15:49,2024-12-17 21:57:49,Completed,Sedan,7.19,42,15.44,3.23,1.0,Credit Card,School Run,5,4
9569688,8325429,Los Angeles,34.03474,-118.20817,34.08184,-118.30935,2024-10-10 13:11:04,2024-10-10 13:33:04,Cancelled,Minivan,6.64,22,0.0,0.0,1.0,App Wallet,Business Meeting,,4
6061655,6989795,Los Angeles,34.03532,-118.17348,34.06687,-118.19284,2022-05-26 10:33:36,2022-05-26 10:46:36,Completed,Minivan,2.45,13,11.1,3.14,1.5,Debit Card,Shopping,5,4
2920325,5428220,Austin,30.29674,-97.77154,30.23168,-97.83875,2024-12-20 23:07:31,2024-12-20 23:31:31,Completed,Sedan,6.02,24,13.34,1.48,1.0,Credit Card,Daily Commute,4,1
4061240,3883645,New York,40.65063,-73.98413,40.78071,-73.93222,2022-04-06 14:42:44,2022-04-06 15:04:44,No-show,Electric Sedan,9.39,22,0.0,0.0,1.0,Credit Card,Airport Transfer,,4
9038436,4382990,San Francisco,37.74881,-122.48322,37.74831,-122.4306,2022-09-08 03:25:48,2022-09-08 03:37:48,Completed,Sedan,2.87,12,11.5,0.57,1.5,Debit Card,Daily Commute,5,20
5228420,7749867,Austin,30.20347,-97.76103,30.24568,-97.75061,2024-10-28 13:31:20,2024-10-28 13:42:20,Completed,Sedan,2.98,11,9.44,0.12,1.2,Debit Card,Medical Appointment,3,3
5741342,4131085,Phoenix,33.50675,-112.10997,33.48405,-112.09687,2023-03-27 03:39:05,2023-03-27 03:47:05,Completed,Compact,1.74,8,5.11,0.96,1.0,Debit Card,Shopping,3,6
3422633,5003324,Miami,25.84846,-80.12658,25.79696,-80.22811,2024-11-10 15:14:45,2024-11-10 15:29:45,Completed,Sedan,7.25,15,18.66,5.21,1.2,Corporate,Airport Transfer,5,6
4405437,7265477,Las Vegas,36.26558,-115.14865,36.22951,-115.15414,2023-01-03 13:05:31,2023-01-03 13:12:31,Completed,Minivan,2.51,7,15.04,0.01,2.0,Debit Card,Business Meeting,3,10
4323977,4682515,Phoenix,33.46922,-112.16586,33.42655,-112.07568,2022-03-11 06:56:01,2022-03-11 07:08:01,Completed,Sedan,5.98,12,15.92,0.31,1.2,Credit Card,Food Delivery,5,3
4604205,7983518,Las Vegas,36.23426,-115.09227,36.25655,-115.15012,2023-04-28 13:53:06,2023-04-28 14:04:06,Completed,Luxury,3.57,11,14.99,0.44,1.0,Debit Card,Airport Transfer,5,20
2532713,7124171,Chicago,41.8656,-87.70499,41.93296,-87.66686,2023-09-15 04:33:35,2023-09-15 04:59:35,Completed,SUV,5.05,26,13.61,1.58,1.0,Credit Card,Airport Transfer,4,3
8644799,7928646,Seattle,47.5589,-122.32344,47.62863,-122.36816,2022-07-24 14:21:41,2022-07-24 14:31:41,Completed,Sedan,5.25,10,11.95,0.29,1.0,Credit Card,Daily Commute,3,5
5079853,4635860,Los Angeles,33.97971,-118.24203,34.00766,-118.27966,2024-05-24 12:22:50,2024-05-24 12:37:50,Cancelled,Electric SUV,2.89,15,0.0,0.0,1.0,App Wallet,Medical Appointment,,2
7139749,9701824,Minneapolis,45.03959,-93.19518,44.98817,-93.21947,2024-10-28 13:00:39,2024-10-28 13:20:39,Completed,Electric Sedan,3.75,20,18.0,5.31,1.8,Debit Card,Daily Commute,1,4
4190926,9325363,New York,40.76678,-73.91547,40.7975,-73.98776,2022-07-24 20:12:44,2022-07-24 20:28:44,Completed,Sedan,4.34,16,10.31,0.72,1.0,Corporate,Airport Transfer,5,5
2050680,8243757,Los Angeles,34.12651,-118.31304,34.12907,-118.33546,2022-12-10 02:26:08,2022-12-10 02:33:08,Completed,Compact,1.29,7,5.32,0.01,1.2,Corporate,Medical Appointment,4,2
5176743,3659905,Boston,42.42733,-71.01588,42.40199,-71.03669,2024-05-21 20:14:29,2024-05-21 20:19:29,Completed,Electric SUV,2.05,5,7.42,3.05,1.0,App Wallet,Airport Transfer,5,3
8919623,7265477,Las Vegas,36.19526,-115.10683,36.14808,-115.18844,2024-04-16 16:15:58,2024-04-16 16:36:58,Completed,Compact,5.6,21,10.9,0.96,1.0,Credit Card,Shopping,3,5
5020380,5310686,San Francisco,37.85374,-122.42174,37.83243,-122.48851,2024-11-06 13:27:04,2024-11-06 13:34:04,Completed,Sedan,3.93,7,9.57,0.18,1.0,App Wallet,Medical Appointment,2,10
7498306,9930977,Portland,45.54168,-122.66767,45.48613,-122.63791,2024-07-26 03:58:07,2024-07-26 04:16:07,Completed,Sedan,4.1,18,17.78,5.7,1.8,Credit Card,Daily Commute,4,4
6372208,1974038,Houston,29.81474,-95.44513,29.731,-95.33064,2024-08-05 01:42:03,2024-08-05 02:18:03,No-show,Luxury,8.98,36,0.0,0.0,1.2,Credit Card,Airport Transfer,,6
4785622,4445151,Phoenix,33.4249,-112.16919,33.5142,-112.04392,2024-10-16 13:59:31,2024-10-16 14:53:31,Completed,SUV,9.5,54,23.4,8.48,1.0,Credit Card,Airport Transfer,2,5
2848551,4853456,Detroit,42.23563,-83.12171,42.42741,-82.95332,2023-02-24 18:51:15,2023-02-24 20:17:15,Completed,SUV,15.8,86,37.26,10.28,1.0,App Wallet,Shopping,4,5
5348583,4443876,Minneapolis,44.9651,-93.31978,44.98017,-93.3245,2023-10-12 19:50:21,2023-10-12 19:54:21,Completed,Sedan,1.07,4,4.43,0.34,1.0,Credit Card,Daily Commute,5,4
8091765,5072373,Nashville,36.22321,-86.77936,36.23075,-86.80734,2023-07-23 08:44:50,2023-07-23 08:49:50,Completed,Compact,1.64,5,7.44,5.19,1.5,App Wallet,Daily Commute,1,8
3774358,2375010,Seattle,47.54124,-122.29269,47.56055,-122.2679,2023-09-20 10:37:05,2023-09-20 10:44:05,In Progress,SUV,1.77,7,0.0,0.0,1.2,App Wallet,Medical Appointment,,3
8052084,8583295,San Francisco,37.71411,-122.45999,37.78732,-122.4574,2024-04-09 21:53:49,2024-04-09 22:21:49,Completed,Electric Sedan,5.06,28,12.62,0.39,1.0,App Wallet,Night Out,5,4
9593170,3095147,San Francisco,37.85743,-122.41852,37.74008,-122.38083,2022-10-18 23:13:57,2022-10-18 23:42:57,No-show,Compact,8.37,29,0.0,0.0,1.0,App Wallet,Medical Appointment,,5
1990270,3893521,Orlando,28.51763,-81.33396,28.52656,-81.36349,2024-09-14 13:50:45,2024-09-14 13:57:45,Completed,Sedan,1.9,7,8.88,8.5,1.5,Debit Card,Airport Transfer,5,8
8004367,4108332,Las Vegas,36.18397,-115.0856,36.15073,-115.19958,2023-06-10 07:41:11,2023-06-10 08:02:11,Completed,Compact,6.76,21,12.64,3.55,1.0,App Wallet,Night Out,5,5
3500473,3487906,Austin,30.24021,-97.71212,30.28373,-97.82836,2022-04-25 05:01:51,2022-04-25 05:41:51,Completed,Sedan,7.56,40,24.16,3.76,1.5,App Wallet,Airport Transfer,4,8
3983294,6913136,San Francisco,37.73181,-122.33795,37.81299,-122.4604,2024-09-04 23:40:29,2024-09-04 23:58:29,Disputed,Sedan,8.73,18,0.0,0.0,1.2,App Wallet,Business Meeting,,3
6762455,8096749,San Francisco,37.67795,-122.50176,37.77445,-122.50906,2024-09-29 21:34:52,2024-09-29 22:06:52,Cancelled,Minivan,6.68,32,0.0,0.0,1.2,App Wallet,Event,,10
6016866,9069468,New York,40.68489,-73.97184,40.77165,-74.02684,2022-01-16 05:27:49,2022-01-16 05:45:49,Completed,Sedan,6.65,18,28.94,1.3,2.0,App Wallet,Daily Commute,5,8
1697547,9728231,Los Angeles,34.02575,-118.23394,34.14205,-118.28957,2024-05-28 21:27:59,2024-05-28 22:12:59,Disputed,Luxury,8.64,45,0.0,0.0,1.0,Credit Card,Daily Commute,,3
9607373,7391744,San Diego,32.76155,-117.22951,32.67252,-117.24193,2022-01-18 02:28:46,2022-01-18 03:01:46,Completed,Sedan,6.19,33,16.37,10.4,1.2,Debit Card,Night Out,5,4
1179786,8702130,Los Angeles,34.14599,-118.26769,33.99942,-118.17423,2023-08-21 02:22:54,2023-08-21 03:10:54,No-show,Sedan,11.45,48,0.0,0.0,1.2,App Wallet,Medical Appointment,,2
1990828,7955686,San Francisco,37.69078,-122.35764,37.69354,-122.49517,2022-11-13 17:43:47,2022-11-13 18:09:47,Cancelled,Electric Sedan,7.52,26,0.0,0.0,1.5,Corporate,Airport Transfer,,4
5949217,9010779,New York,40.72407,-74.09366,40.68668,-73.94967,2023-10-02 23:34:56,2023-10-03 00:10:56,Completed,Electric Sedan,7.97,36,18.44,10.35,1.0,Crypto,Airport Transfer,4,5
9986652,5713546,San Diego,32.68028,-117.10218,32.66679,-117.2493,2024-10-24 17:08:29,2024-10-24 17:48:29,Completed,Sedan,8.61,40,18.0,1.63,1.0,App Wallet,Daily Commute,5,4
9594816,9757424,Minneapolis,44.8981,-93.17158,44.91925,-93.36348,2023-05-18 03:54:37,2023-05-18 04:43:37,Completed,SUV,9.5,49,23.4,0.88,1.0,Crypto,Shopping,5,5
6923664,1334204,San Francisco,37.73991,-122.4964,37.81453,-122.50975,2024-02-20 20:07:02,2024-02-20 20:23:02,Cancelled,Compact,5.21,16,0.0,0.0,1.0,App Wallet,Event,,2
8581762,1908213,Los Angeles,34.05761,-118.14489,34.11285,-118.18221,2024-02-28 19:24:08,2024-02-28 19:40:08,Completed,SUV,4.37,16,14.54,0.58,1.2,Debit Card,Medical Appointment,5,4
7484147,1763831,Los Angeles,34.1317,-118.27504,33.96938,-118.33833,2024-11-23 15:49:07,2024-11-23 16:38:07,Completed,SUV,11.79,49,56.88,2.32,2.0,Debit Card,Airport Transfer,5,8
1676942,7449765,Los Angeles,34.14564,-118.23842,33.96446,-118.23928,2022-01-31 12:18:42,2022-01-31 13:25:42,Completed,Electric Sedan,12.52,67,27.54,0.04,1.0,Debit Card,School Run,4,4
9698433,1416408,Atlanta,33.74193,-84.43401,33.76505,-84.41158,2024-02-06 05:49:55,2024-02-06 06:00:55,Completed,Sedan,2.05,11,6.19,0.23,1.0,Credit Card,Food Delivery,5,5
5796364,1294980,Los Angeles,33.98169,-118.1408,34.08167,-118.20591,2024-12-26 18:44:39,2024-12-26 19:18:39,Completed,Luxury,7.85,34,53.95,15.5,1.8,Crypto,Food Delivery,3,4
4989945,1553728,Atlanta,33.73015,-84.41559,33.6571,-84.45186,2024-08-31 10:26:42,2024-08-31 10:40:42,Completed,Compact,5.46,14,10.69,3.45,1.0,Debit Card,Shopping,3,8
5022311,1573140,Nashville,36.24709,-86.81126,36.21266,-86.78294,2023-09-26 17:22:21,2023-09-26 17:35:21,Completed,Compact,2.85,13,16.94,3.26,2.5,Credit Card,Business Meeting,1,6
